position_m,x_m,y_m,speed_mps,notch
24504.588,536820.988,4581242.808,8.3449,3
24639.447,536934.627,4581315.426,9.5163,3
24790.792,537062.157,4581396.921,10.7564,3
24956.508,537201.797,4581486.154,10.9347,3
25120.571,537340.004,4581574.559,11.0016,3
25291.523,537483.94,4581666.791,11.8022,3
25473.631,537637.429,4581764.794,12.3875,3
25661.375,537794.365,4581867.841,12.7487,3
25856.396,537957.297,4581975.015,13.1973,3
26061.528,538129.773,4582086.059,14.1147,3
26273.01,538308.326,4582199.384,14.1006,3
26490.704,538492.317,4582315.737,14.949,3
26718.708,538687.559,4582433.367,15.1941,3
26955.928,538896.063,4582546.5,16.5042,3
27206.777,539116.65,4582665.944,16.741,3
27460.279,539339.456,4582786.86,17.082,3
27720.421,539567.772,4582911.543,17.5263,3
27984.353,539799.413,4583038.043,17.6174,3
28252.505,540034.758,4583166.565,18.2998,3
28537.191,540284.615,4583303.013,19.5842,3
28836.413,540547.229,4583446.427,20.0034,3
29135.439,540809.597,4583589.884,19.8807,3
29437.7,541074.624,4583735.218,20.3034,3
29742.992,541342.267,4583882.088,20.5193,3
30057.583,541618.112,4584033.339,21.0486,3
30371.952,541893.762,4584184.484,21.147,3
30697.02,542178.798,4584340.765,21.9504,3
31021.982,542463.619,4584497.215,21.3703,3
31340.505,542743.313,4584649.621,20.9249,3
31650.432,543016.87,4584795.231,20.4492,3
31954.459,543295.339,4584917.215,20.1866,3
32251.191,543567.238,4585036.041,19.3523,3
32532.1,543824.673,4585148.441,17.7606,3
32788.566,544040.741,4585285.288,16.1155,3
33006.675,544211.87,4585420.513,13.1621,3
33180.474,544348.498,4585527.932,10.2083,3
33310.002,544450.323,4585607.99,7.2604,3
33395.443,544517.49,4585660.798,4.3321,3
33437.4,544550.474,4585686.73,1.4763,3
33466.729,544573.53,4585704.857,4.1137,3
33550.726,544639.562,4585756.773,6.7633,3
33664.483,544728.989,4585827.083,8.2218,3
33799.384,544834.96,4585910.561,9.5092,3
33946.923,544950.8,4586001.933,9.9991,3
34099.07,545070.257,4586096.16,10.2832,3
34257.191,545194.405,4586194.086,11.0653,3
34425.533,545326.577,4586298.342,11.4041,3
34604.803,545467.469,4586409.187,12.1658,3
34789.694,545602.239,4586535.366,12.6132,3
34984.689,545741.547,4586671.793,13.3384,3
35187.509,545885.793,4586814.374,13.7386,3
35399.674,546036.888,4586963.318,14.4108,3
35618.264,546192.558,4587116.773,14.7361,3
35839.943,546350.427,4587272.396,14.8659,3
36065.59,546509.097,4587432.824,15.0561,3
36293.822,546666.035,4587598.535,15.5368,3
36530.262,546828.618,4587770.206,16.1102,3
36771.033,546993.938,4587945.248,15.9637,3
37009.143,547166.863,4588108.179,15.7963,3
37247.443,547383.768,4588203.007,15.9288,3
37489.181,547613.417,4588278.496,16.1889,3
37735.957,547847.852,4588355.557,16.67,3
37984.647,548066.506,4588470.547,16.581,3
38234.429,548235.291,4588653.998,16.67,3
38476.287,548376.131,4588849.561,15.8185,3
38707.696,548526.304,4589025.624,14.4888,3
38901.83,548650.115,4589175.094,11.5854,3
39052.253,548745.664,4589291.175,8.6638,3
39158.798,548800.319,4589382.459,5.7382,3
39221.606,548830.31,4589437.643,2.8385,3
39242.106,548840.088,4589455.662,0.1955,3
39297.966,548868.708,4589503.588,5.2203,3
39398.886,548902.407,4589598.391,7.7566,3
39527.988,548939.116,4589722.05,9.169,3
39671.316,548989.47,4589856.189,9.9614,3
39825.152,549031.44,4590004.154,10.3525,3
39982.236,549070.789,4590156.226,10.8954,3
40147.622,549112.442,4590316.281,11.0187,3
40313.853,549144.79,4590479.173,11.2024,3
40484.222,549188.085,4590643.949,11.7357,3
40666.861,549234.953,4590820.448,12.5222,3
40860.385,549310.552,4590997.744,13.0515,3
41057.762,549360.117,4591188.793,13.2216,3
41258.327,549414.884,4591381.715,13.7268,3
41464.036,549518.89,4591557.859,13.8675,3
41672.784,549639.43,4591728.287,13.9464,3
41886.076,549762.825,4591902.254,14.3523,3
42102.165,549886.891,4592079.177,14.7031,3
42327.72,550016.315,4592263.906,15.3942,3
42560.241,550155.492,4592450.021,15.9861,3
42791.626,550289.161,4592638.89,15.2188,3
43014.171,550417.723,4592820.544,13.8386,3
43206.729,550528.962,4592977.721,11.5079,3
43355.841,550615.102,4593099.434,8.5693,3
43460.896,550675.791,4593185.186,5.6359,3
43522.157,550711.181,4593235.191,2.7358,3
43542.354,550722.849,4593251.677,1.2255,3
43620.004,550767.706,4593315.059,7.1957,3
43743.154,550838.849,4593415.581,9.0117,3
43907.714,550933.913,4593549.904,11.6205,3
44082.192,551034.647,4593692.367,11.6603,3
44259.737,551134.209,4593839.327,12.202,3
44485.721,551261.242,4594025.591,16.7013,3
44736.747,551333.679,4594265.628,16.8711,3
44989.541,551429.68,4594499.015,16.8336,3
45242.189,551561.93,4594714.09,16.8884,3
45495.597,551706.032,4594922.537,16.883,3
45749.036,551848.882,4595131.88,17.0051,3
46006.394,551993.372,4595344.849,17.1762,3
46263.462,552138.73,4595556.874,17.1033,3
46519.505,552282.807,4595768.533,17.0702,3
46774.854,552426.112,4595979.878,16.9808,3
47028.787,552569.114,4596189.717,16.8818,3
47281.146,552711.557,4596398.032,16.7714,3
47533.359,552869.501,4596593.876,16.9676,3
47787.675,553066.664,4596754.141,16.8984,3
48041.969,553269.639,4596907.328,17.1708,3
48309.179,553482.611,4597068.71,18.1217,3
48579.438,553698.013,4597231.934,17.8542,3
48846.469,553912.107,4597391.52,17.7111,3
49117.247,554128.866,4597553.79,18.0566,3
49393.191,554349.336,4597719.737,18.706,3
49670.595,554570.857,4597886.712,17.9945,3
49929.525,554777.815,4598042.319,16.565,3
50163.811,554964.975,4598183.248,14.7168,3
50366.194,555126.65,4598304.986,12.327,3
50535.759,555262.108,4598406.983,10.9196,3
50676.57,555374.595,4598491.684,8.0409,3
50773.973,555452.406,4598550.274,5.1383,3
50827.927,555495.508,4598582.729,2.2589,3
50849.721,555512.918,4598595.839,3.0322,3
50922.523,555571.076,4598639.631,6.0586,3
51027.829,555655.201,4598702.975,7.5928,3
51149.293,555752.233,4598776.038,8.6506,3
51286.287,555861.671,4598858.443,9.681,3
51438.554,555983.31,4598950.035,10.5181,3
51598.443,556111.039,4599046.212,11.0878,3
51765.093,556244.168,4599146.456,11.11,3
51931.743,556377.297,4599246.7,11.11,3
52098.393,556510.426,4599346.944,11.11,3
52265.041,556643.554,4599447.187,11.11,3
52431.688,556776.772,4599547.307,11.11,3
52598.338,556910.275,4599647.052,11.11,3
52764.988,557043.809,4599746.755,11.11,3
52931.622,557177.043,4599846.832,11.11,3
53098.272,557310.185,4599947.059,11.11,3
53264.921,557443.327,4600047.285,11.11,3
53431.571,557576.469,4600147.511,11.11,3
53598.213,557709.476,4600247.904,11.11,3
