position_m,x_m,y_m,speed_mps,notch
28707.44,540434.036,4583384.612,22.2065,3
29040.74,540726.559,4583544.359,22.22,7
29374.04,541018.806,4583704.609,22.22,8
29707.34,541311.006,4583864.947,22.22,4
30040.64,541603.256,4584025.193,22.22,7
30371.913,541893.728,4584184.466,22.1721,3
30705.213,542185.979,4584344.709,22.22,7
31033.423,542473.647,4584502.724,21.5699,3
31360.266,542760.687,4584659.035,21.9433,4
31693.513,543055.947,4584813.367,22.22,7
32026.702,543361.616,4584945.964,22.146,7
32351.633,543659.338,4585076.118,20.7531,7
32639.538,543919.46,4585198.875,17.8271,1
32883.456,544115.026,4585344.329,14.8895,4
33083.245,544272.064,4585467.838,11.9445,3
33238.835,544394.377,4585564.003,8.9976,3
33350.264,544481.974,4585632.874,6.058,1
33417.791,544535.058,4585674.61,3.148,2
33442.591,544554.555,4585689.939,0.4175,6
33512.977,544609.886,4585733.442,7.3218,4
33662.288,544727.264,4585825.726,11.8379,5
33839.76,544866.661,4585935.566,11.8257,2
34063.394,545042.246,4586074.065,16.67,7
34313.444,545238.572,4586228.924,16.67,5
34563.494,545434.897,4586383.783,16.67,7
34813.544,545619.504,4586551.819,16.67,8
35062.985,545797.166,4586726.901,16.5927,1
35312.528,545974.826,4586902.14,16.67,3
35561.803,546152.348,4587077.136,16.5714,1
35809.534,546328.772,4587251.048,16.4785,3
36059.584,546504.967,4587428.464,16.67,6
36309.617,546676.896,4587610.003,16.67,4
36559.667,546848.837,4587791.556,16.67,5
36808.034,547019.312,4587972.179,16.4549,1
37052.913,547202.926,4588132.903,16.206,2
37302.845,547436.399,4588220.307,16.67,7
37549.647,547670.859,4588297.377,16.2529,2
37791.431,547900.177,4588373.978,15.9351,2
38040.73,548108.449,4588507.753,16.67,6
38282.294,548260.496,4588694.627,15.579,1
38505.828,548395.302,4588872.037,14.2736,1
38730.661,548541.208,4589043.097,14.2899,5
38921.143,548661.897,4589190.397,11.3086,7
39067.017,548754.094,4589303.295,8.3419,2
39168.548,548804.979,4589391.022,5.3965,0
39226.212,548832.507,4589441.692,2.4981,4
39245.409,548841.811,4589458.48,2.2231,7
39384.645,548898.622,4589584.662,13.5697,7
39592.433,548963.288,4589781.78,13.9472,3
39801.266,549025.305,4589981.069,13.8997,2
40014.256,549078.894,4590187.204,14.6467,4
40238.892,549130.711,4590405.619,15.224,4
40472.324,549185.064,4590632.441,15.9857,4
40711.028,549250.076,4590861.855,15.8478,0
40986.437,549342.033,4591119.8,20.2538,7
41286.196,549423.733,4591408.143,19.7361,1
41584.603,549588.511,4591656.293,20.056,4
41878.794,549758.644,4591896.292,19.2048,1
42162.149,549921.27,4592128.332,18.9033,3
42453.858,550090.021,4592366.224,19.88,4
42740.804,550259.801,4592597.406,17.7919,6
42984.201,550400.409,4592796.081,14.8552,3
43183.48,550515.531,4592958.743,11.9107,7
43338.567,550605.123,4593085.334,8.9642,4
43449.499,550669.208,4593175.883,6.025,2
43516.535,550707.933,4593230.602,3.1157,3
43540.88,550721.997,4593250.474,0.3921,5
43616.367,550765.605,4593312.09,7.9988,4
43745.75,550840.348,4593417.7,9.3104,2
43938.789,550951.865,4593575.269,14.7378,6
44161.039,551078.397,4593757.957,15.0733,4
44423.022,551231.009,4593970.738,19.2974,6
44721.254,551329.226,4594250.788,20.9133,6
45052.59,551459.943,4594554.322,22.22,8
45385.89,551643.646,4594832.295,22.22,6
45717.924,551831.414,4595106.134,22.0593,2
46051.224,552018.589,4595381.913,22.22,6
46382.877,552206.178,4595655.417,22.0107,1
46711.204,552390.318,4595927.246,21.7775,0
47035.817,552573.073,4596195.526,21.5166,2
47356.26,552754.268,4596459.815,21.2229,1
47671.996,552974.498,4596684.235,20.8905,2
47984.181,553223.533,4596872.489,20.9745,4
48297.04,553472.936,4597061.379,20.7087,0
48616.019,553727.202,4597253.982,21.5875,5
48934.367,553982.862,4597443.664,21.1261,3
49264.138,554246.189,4597642.177,21.8841,6
49578.071,554496.978,4597831.013,20.0574,2
49862.6,554724.351,4598002.063,17.9733,4
50113.622,554924.882,4598153.058,15.606,6
50326.807,555095.185,4598281.294,12.9482,6
50501.323,555234.599,4598386.269,11.11,3
50647.67,555351.508,4598474.3,8.5417,1
50754.059,555436.498,4598538.296,5.8026,6
50818.464,555487.948,4598577.037,2.9668,3
50840.817,555505.805,4598590.482,0.2869,3
50917.726,555567.244,4598636.745,7.4649,4
51029.691,555656.688,4598704.095,7.4639,1
51191.318,555785.805,4598801.317,11.11,8
51357.968,555918.934,4598901.561,11.11,4
51524.618,556052.063,4599001.805,11.11,5
51691.221,556185.155,4599102.02,11.1041,2
51857.871,556318.284,4599202.264,11.11,6
52024.469,556451.372,4599302.477,11.1035,1
52191.018,556584.42,4599402.66,11.1055,2
52357.668,556717.474,4599503.004,11.11,4
52524.294,556850.958,4599602.734,11.11,2
52690.944,556984.461,4599702.479,11.11,4
52857.526,557117.845,4599802.27,11.1014,1
53024.176,557250.987,4599902.496,11.11,6
53190.75,557384.069,4600002.677,11.1004,1
53357.4,557517.211,4600102.903,11.11,7
53524.05,557650.353,4600203.13,11.11,4
53690.7,557783.435,4600303.436,11.11,7
53857.35,557916.7,4600403.499,11.11,8
54023.99,558049.957,4600503.557,11.11,2
54190.64,558183.222,4600603.62,11.11,6
54357.166,558316.348,4600703.662,11.0944,2
54523.816,558449.224,4600804.242,11.11,6
54690.466,558584.811,4600901.026,11.11,4
54856.958,558727.604,4600986.633,11.09,1
55023.608,558871.104,4601071.369,11.11,7
55190.258,559014.746,4601155.861,11.11,4
55356.908,559157.807,4601241.332,11.11,6
55523.558,559301.035,4601326.524,11.11,7
55690.208,559444.24,4601411.758,11.11,4
55856.858,559587.635,4601496.669,11.11,6
56023.508,559731.182,4601581.325,11.11,1
56190.158,559874.728,4601665.981,11.11,7
56356.808,560018.275,4601750.636,11.11,4
56523.367,560161.822,4601835.11,11.11,1
56690.017,560305.118,4601920.19,11.11,4
56856.403,560445.078,4602010.023,11.0672,3
57023.053,560589.563,4602093.035,11.11,4
57188.653,560738.587,4602165.196,10.9749,2
57354.854,560888.659,4602236.618,11.11,3
57521.047,561040.472,4602304.206,10.9941,1
57687.643,561190.294,4602376.32,11.11,3
57854.293,561319.408,4602481.428,11.11,6
58018.16,561443.559,4602588.357,10.5895,2
58184.654,561588.851,4602666.991,11.11,6
58336.911,561736.902,4602702.414,8.8866,7
58447.502,561844.611,4602727.492,6.0388,2
58515.057,561910.407,4602742.812,3.1615,8
58540.095,561934.793,4602748.489,0.4316,8
58632.889,562025.14,4602769.654,10.3591,6
58788.387,562176.34,4602805.965,10.4182,1
58953.44,562337.046,4602843.566,11.11,3
59120.09,562499.297,4602881.605,11.11,7
59286.739,562663.684,4602906.997,11.11,2
59453.389,562830.32,4602908.269,11.11,6
59620.03,562996.96,4602908.819,11.1088,1
59786.68,563163.381,4602903.93,11.11,4
59953.33,563324.415,4602861.756,11.11,7
60119.98,563482.873,4602810.549,11.11,2
60286.623,563616.421,4602712.181,11.1089,3
60453.265,563739.224,4602599.559,11.11,3
60619.915,563859.843,4602484.701,11.11,4
60786.565,563986.07,4602375.897,11.11,3
60953.212,564112.109,4602266.876,11.1093,3
61119.862,564246.309,4602168.782,11.11,7
61286.512,564399.82,4602104.46,11.11,6
61453.149,564557.076,4602049.338,11.1084,2
61619.792,564714.872,4601995.765,11.1088,2
61786.442,564872.392,4601941.362,11.11,3
61953.092,565029.856,4601886.797,11.11,6
62119.742,565187.736,4601833.471,11.11,7
62286.378,565350.063,4601797.025,11.1082,2
62452.987,565516.343,4601795.485,11.1064,3
62619.568,565680.227,4601824.462,11.1045,0
62786.218,565841.551,4601865.971,11.11,4
62952.868,565992.678,4601935.414,11.11,7
63119.502,566137.796,4602017.313,11.108,0
63286.105,566283.119,4602098.785,11.1059,2
63452.755,566428.484,4602180.28,11.11,4
63619.405,566573.848,4602261.775,11.11,3
63786.037,566719.197,4602343.261,11.1077,2
63952.687,566864.583,4602424.716,11.11,6
64119.318,567010.07,4602505.952,11.1076,2
64285.968,567155.574,4602587.198,11.11,4
64452.618,567300.966,4602668.642,11.11,7
64619.26,567447.011,4602748.895,11.11,2
64785.91,567592.517,4602830.116,11.11,6
64952.56,567737.077,4602912.997,11.11,6
65119.21,567882.495,4602994.397,11.11,6
65285.86,568027.912,4603075.798,11.11,6
65452.51,568173.379,4603157.109,11.11,7
65619.16,568318.847,4603238.419,11.11,5
65785.81,568464.315,4603319.73,11.11,2
65952.446,568609.771,4603401.033,11.11,0
66119.096,568755.239,4603482.343,11.11,3
66285.746,568900.707,4603563.653,11.11,6
66452.394,569046.172,4603644.962,11.1089,2
66619.044,569191.64,4603726.272,11.11,6
66785.694,569337.056,4603807.675,11.11,3
66952.344,569482.7,4603888.664,11.11,2
67118.985,569632.522,4603961.499,11.1078,2
67285.635,569787.723,4604022.05,11.11,7
67452.285,569944.958,4604077.272,11.11,5
67618.935,570102.199,4604132.476,11.11,3
67785.585,570259.44,4604187.68,11.11,6
67952.221,570416.601,4604243.068,11.11,3
68118.863,570571.132,4604305.3,11.1075,1
68285.513,570719.851,4604380.361,11.11,4
68452.163,570861.071,4604468.736,11.11,8
68618.813,570997.561,4604564.35,11.11,4
68785.463,571133.804,4604660.32,11.11,4
68952.05,571269.995,4604756.254,11.1021,2
69118.7,571406.238,4604852.223,11.11,7
69285.283,571542.425,4604948.155,11.104,0
69451.933,571678.668,4605044.124,11.11,6
69618.569,571814.881,4605140.111,11.1059,2
69785.219,571951.246,4605235.906,11.11,8
69951.856,572083.851,4605336.613,11.1061,2
70118.445,572207.136,4605448.649,11.11,3
70285.095,572339.007,4605550.346,11.11,5
70451.742,572475.355,4605646.161,11.11,4
70618.392,572611.868,4605741.746,11.11,3
70785.042,572748.381,4605837.33,11.11,2
70951.692,572884.894,4605932.915,11.11,5
71118.342,573021.407,4606028.5,11.11,8
71284.992,573157.92,4606124.085,11.11,6
71451.507,573294.322,4606219.592,11.1054,2
71618.157,573431.536,4606314.134,11.11,4
71784.587,573575.338,4606397.797,11.0821,2
71951.237,573724.854,4606471.362,11.11,6
72117.614,573875.626,4606541.707,11.0753,2
72283.439,574026.048,4606611.502,11.0366,2
72450.089,574177.218,4606681.643,11.11,6
72616.739,574328.388,4606751.785,11.11,7
72783.389,574479.558,4606821.926,11.11,7
72950.039,574630.728,4606892.068,11.11,7
73116.052,574781.335,4606961.91,11.0285,0
73282.702,574932.617,4607031.81,11.11,6
73449.352,575083.903,4607101.702,11.11,8
73616.002,575235.157,4607171.662,11.11,1
73782.652,575384.463,4607245.551,11.11,1
73949.302,575526.86,4607332.098,11.11,5
74115.952,575679.712,4607395.183,11.11,4
74282.602,575837.634,4607446.326,11.11,6
74448.792,575976.219,4607537.875,11.11,1
74608.13,576117.776,4607609.98,9.7583,4
74741.242,576240.636,4607661.077,7.5988,4
74832.295,576320.483,4607704.807,4.7275,4
74880.239,576364.616,4607723.381,1.8685,2
74891.294,576374.912,4607727.406,1.1571,3
