position_m,x_m,y_m,speed_mps,notch
22777.17,556522.994,4599356.407,11.11,1
22943.82,556389.865,4599256.163,11.11,1
23110.27,556256.895,4599156.04,11.0295,1
23276.402,556124.18,4599056.107,11.11,1
23443.052,555991.05,4598955.863,11.11,1
23609.702,555857.921,4598855.619,11.11,1
23774.469,555726.296,4598756.508,10.3564,1
23906.985,555620.435,4598676.797,7.4951,1
23996.284,555549.098,4598623.081,4.6025,1
24042.321,555512.321,4598595.389,1.7427,1
24059.543,555498.563,4598585.03,1.9004,1
24099.944,555466.289,4598560.728,3.3129,1
24158.696,555419.354,4598525.387,4.4161,1
24232.42,555360.459,4598481.04,5.3134,1
24318.607,555291.608,4598429.197,6.1724,1
24420.702,555210.05,4598367.784,7.374,1
24539.079,555115.483,4598296.578,8.2424,1
24666.725,555013.513,4598219.796,8.681,1
24798.644,554908.129,4598140.443,8.9207,1
24935.983,554798.415,4598057.831,9.3826,1
25079.1,554684.085,4597971.743,9.5774,1
25222.728,554569.238,4597885.491,9.5733,1
25366.294,554454.602,4597799.065,9.569,1
25510.009,554339.821,4597712.581,9.6362,1
25655.716,554223.365,4597625.011,9.7376,1
25801.738,554106.76,4597537.116,9.7323,1
25948.806,553989.345,4597448.554,9.95,1
26100.899,553867.055,4597358.138,10.2445,1
26256.655,553742.068,4597265.195,10.5445,1
26418.705,553612.853,4597167.403,11.1274,1
26596.166,553471.413,4597060.225,12.4042,1
26786.303,553319.869,4596945.391,12.8025,1
26978.16,553166.729,4596829.819,12.7947,1
27172.49,553011.731,4596712.601,13.1657,1
27380.029,552853.825,4596578.308,14.3589,1
27600.245,552717.148,4596406.206,14.839,1
27830.191,552587.339,4596216.404,15.8481,1
28077.005,552448.32,4596012.465,16.9784,1
28338.525,552301.46,4595796.075,17.8237,1
28613.743,552146.706,4595568.489,18.7295,1
28903.47,551982.945,4595329.483,19.8499,1
29207.784,551812.094,4595077.656,20.465,1
29514.843,551638.279,4594824.532,20.879,1
29835.714,551461.434,4594556.914,21.7446,1
30164.554,551330.803,4594256.043,21.6029,1
30465.305,551232.625,4593973.228,18.6888,1
30722.221,551082.849,4593764.646,15.7598,1
30935.113,550961.913,4593589.466,12.8204,1
31103.863,550864.428,4593451.723,9.8757,1
31228.453,550792.453,4593350.026,6.9338,1
31309.037,550745.901,4593284.248,4.0112,1
31346.294,550724.378,4593253.837,1.1757,1
31362.461,550715.038,4593240.641,1.6064,1
31390.427,550698.883,4593217.814,2.0466,1
31423.396,550679.837,4593190.902,2.3262,1
31460.659,550658.31,4593160.486,2.6639,1
31505.291,550632.527,4593124.055,3.2532,1
31561.091,550600.292,4593078.508,4.1068,1
31628.934,550561.099,4593023.13,4.8914,1
31709.698,550514.443,4592957.206,5.8563,1
31804.512,550459.67,4592879.814,6.6413,1
31910.271,550398.574,4592793.487,7.4777,1
32031.436,550328.578,4592694.586,8.6193,1
32169.501,550248.819,4592581.889,9.5672,1
32316.639,550163.819,4592461.787,10.1551,1
32480.41,550064.274,4592331.849,11.3015,1
32650.28,549966.472,4592192.959,11.4377,1
32823.733,549867.035,4592050.839,11.6139,1
32999.39,549766.172,4591907.026,11.8354,1
33182.865,549660.225,4591757.238,12.5963,1
33374.791,549549.187,4591600.695,12.9857,1
33575.662,549436.657,4591434.527,13.6915,1
33786.875,549372.592,4591233.753,14.3856,1
34007.807,549316.321,4591020.114,15.1549,1
34240.779,549230.185,4590804.814,15.8017,1
34479.534,549169.681,4590573.864,16.0176,1
34722.998,549117.471,4590336.335,16.6064,1
34976.461,549053.885,4590090.98,16.3319,1
35197.837,548996.546,4589877.168,13.381,1
35374.932,548935.077,4589711.149,10.4286,1
35507.767,548898.319,4589583.586,7.4808,1
35596.501,548867.386,4589500.705,4.5505,1
35641.674,548844.015,4589462.068,1.6839,1
35659.807,548835.024,4589446.329,1.9276,1
35699.949,548815.877,4589411.047,3.2725,1
35759.272,548787.52,4589358.941,4.5242,1
35834.855,548748.055,4589294.612,5.3868,1
35919.685,548693.903,4589229.394,5.9323,1
36015.091,548634.434,4589154.826,6.7647,1
36122.787,548565.768,4589071.891,7.5276,1
36242.506,548488.076,4588980.806,8.4147,1
36375.221,548401.951,4588879.833,9.1211,1
36515.514,548311.256,4588772.804,9.5887,1
36666.725,548229.264,4588646.196,10.6589,1
36834.167,548119.722,4588519.651,11.3472,1
37005.572,547985.394,4588414.186,11.5701,1
37182.907,547821.662,4588346.948,12.0467,1
37366.498,547647.252,4588289.617,12.2993,1
37552.015,547471.012,4588231.685,12.523,1
37742.867,547289.705,4588172.087,12.8554,1
37939.449,547121.452,4588073.256,13.3416,1
38145.784,546976.437,4587926.673,14.2933,1
38368.77,546823.298,4587764.588,15.3129,1
38602.688,546662.449,4587594.749,15.6829,1
38837.902,546500.71,4587423.968,15.6668,1
39081.207,546329.166,4587251.437,16.67,1
39331.257,546151.092,4587075.897,16.67,1
39581.307,545973.017,4586900.356,16.67,1
39830.692,545795.473,4586725.224,16.5047,1
40080.193,545617.73,4586550.141,16.67,1
40330.243,545432.98,4586382.27,16.67,1
40579.729,545237.097,4586227.761,16.4511,1
40826.276,545043.522,4586075.072,15.6911,1
41038.112,544877.199,4585943.879,12.7488,1
41205.775,544745.527,4585840.085,9.8025,1
41329.261,544648.452,4585763.762,6.86,1
41408.741,544585.971,4585714.639,3.938,1
41444.926,544557.524,4585692.273,1.1078,1
41465.639,544541.241,4585679.471,2.2523,1
41509.409,544506.833,4585652.419,3.4403,1
41569.154,544459.865,4585615.492,4.4735,1
41644.908,544400.314,4585568.671,5.5482,1
41736.134,544328.599,4585512.287,6.4578,1
41835.791,544250.256,4585450.693,6.7504,1
41939.849,544168.453,4585386.377,7.1355,1
42051.927,544080.471,4585316.948,7.7884,1
42174.906,543983.334,4585241.566,8.54,1
42308.308,543870.314,4585170.928,9.2303,1
42451.421,543740.232,4585111.37,9.7736,1
42608.726,543596.014,4585048.552,11.1844,1
42781.582,543437.723,4584979.105,11.7231,1
42960.904,543273.259,4584907.637,12.1438,1
43147.012,543102.523,4584833.573,12.5582,1
43336.184,542932.082,4584751.709,12.7945,1
43531.835,542759.978,4584658.652,13.1615,1
43733.249,542583.25,4584562.036,13.6802,1
43942.575,542399.407,4584461.943,14.1489,1
44158.853,542209.845,4584357.818,14.7079,1
44384.027,542012.484,4584249.41,15.0941,1
44610.242,541814.058,4584140.781,15.0693,1
44836.695,541615.496,4584031.905,15.2278,1
45067.034,541413.526,4583921.161,15.3822,1
45297.501,541211.462,4583810.322,15.3485,1
45527.9,541009.472,4583699.49,15.3965,1
45759.102,540806.751,4583588.323,15.4006,1
45990.581,540603.664,4583477.246,15.5849,1
